INFO 2025-11-15 10:16:52,611 autoreload Watching for file changes with StatReloader
ERROR 2025-11-15 10:17:35,855 log Internal Server Error: /favorites/6/
ERROR 2025-11-15 10:17:35,868 basehttp "GET /favorites/6/ HTTP/1.1" 500 73
INFO 2025-11-15 10:17:44,315 basehttp "POST /login/ HTTP/1.1" 200 111
INFO 2025-11-15 10:18:06,801 views Model not trained, training now...
INFO 2025-11-15 10:18:06,845 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,850 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,858 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,862 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,870 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,878 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,887 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,895 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,903 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,909 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,913 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,923 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,927 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,933 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,940 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,945 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,950 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,957 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,963 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,972 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,977 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,982 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,991 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:06,997 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,005 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,011 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,021 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,027 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,033 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,040 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,045 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,053 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,059 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,063 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,072 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,078 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,088 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,093 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,098 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,105 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,113 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,120 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,126 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,136 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,142 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,151 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,158 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,164 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,171 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,178 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,189 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,359 ml_model Model trained successfully!
INFO 2025-11-15 10:18:07,360 ml_model Training Accuracy: 0.97
INFO 2025-11-15 10:18:07,360 ml_model Testing Accuracy: 0.00
INFO 2025-11-15 10:18:07,361 ml_model Recipes trained on: 50
INFO 2025-11-15 10:18:07,361 ml_model Features used: 44
INFO 2025-11-15 10:18:07,366 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:18:07,388 views Generated 7 recommendations for ingredients: ['Tomatoes', 'Onions']
INFO 2025-11-15 10:18:07,390 basehttp "POST /ml/recommend/ HTTP/1.1" 200 5767
INFO 2025-11-15 10:20:01,733 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:20:01,804 views Generated 7 recommendations for ingredients: ['Tomatoes', 'Onions', 'Cashews']
INFO 2025-11-15 10:20:01,814 basehttp "POST /ml/recommend/ HTTP/1.1" 200 5778
INFO 2025-11-15 10:20:41,462 ml_model Fetched 50 recipes from database
INFO 2025-11-15 10:20:41,516 views Generated 7 recommendations for ingredients: ['Tomatoes', 'Onions', 'Cashews']
INFO 2025-11-15 10:20:41,521 basehttp "POST /ml/recommend/ HTTP/1.1" 200 5778
INFO 2025-11-15 10:25:06,999 autoreload D:\COOKMate Recipe Platform\backend\api\ml_model.py changed, reloading.
